game,mechanism,model,player,label,share_pct,group_count
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Strategic equilibrium focus,61.1111,18
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Uncertainty evaluation,16.6667,18
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Exploration-exploitation trade-off,11.1111,18
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Risk aversion,11.1111,18
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Multidimensional reasoning,11.1111,18
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Strategic influence,5.5556,18
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Social welfare maximization,5.5556,18
PrisonersDilemma,Contracting,openai/gpt-5.2,openai/gpt-5.2(CoT)#P1,Individual utility maximization,100.0000,6
PrisonersDilemma,Contracting,openai/gpt-5.2,openai/gpt-5.2(CoT)#P1,Strategic equilibrium focus,83.3333,6
PrisonersDilemma,Contracting,openai/gpt-5.2,openai/gpt-5.2(CoT)#P2,Individual utility maximization,100.0000,10
PrisonersDilemma,Contracting,openai/gpt-5.2,openai/gpt-5.2(CoT)#P2,Strategic equilibrium focus,50.0000,10
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Strategic equilibrium focus,100.0000,18
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Individual utility maximization,94.4444,18
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Risk aversion,5.5556,18
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Strategic influence,5.5556,18
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Strategy legibility,5.5556,18
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Multidimensional reasoning,5.5556,18
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Individual utility maximization,94.4444,18
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Strategic equilibrium focus,88.8889,18
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Risk aversion,11.1111,18
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Multidimensional reasoning,11.1111,18
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Rule misunderstanding,5.5556,18
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Uncertainty evaluation,5.5556,18
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Strategic equilibrium focus,100.0000,18
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Individual utility maximization,44.4444,18
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Trust evaluation,22.2222,18
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Strategic influence,16.6667,18
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Multidimensional reasoning,11.1111,18
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Social welfare maximization,11.1111,18
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Risk aversion,5.5556,18
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Strategic equilibrium focus,100.0000,18
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Individual utility maximization,50.0000,18
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Trust evaluation,38.8889,18
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Strategic influence,11.1111,18
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Multidimensional reasoning,11.1111,18
PrisonersDilemma,Mediation,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Social welfare maximization,5.5556,18
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Strategic equilibrium focus,100.0000,18
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Individual utility maximization,66.6667,18
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Risk aversion,11.1111,18
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Multidimensional reasoning,11.1111,18
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Strategic influence,5.5556,18
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Social welfare maximization,5.5556,18
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Strategic equilibrium focus,100.0000,18
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Individual utility maximization,66.6667,18
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Social welfare maximization,22.2222,18
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Strategic influence,5.5556,18
PrisonersDilemma,Mediation,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Multidimensional reasoning,5.5556,18
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Strategic equilibrium focus,83.3333,18
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Risk aversion,77.7778,18
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Multidimensional reasoning,61.1111,18
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Uncertainty evaluation,55.5556,18
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Individual utility maximization,44.4444,18
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Strategic influence,27.7778,18
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Exploration-exploitation trade-off,27.7778,18
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Social welfare maximization,11.1111,18
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Trust evaluation,5.5556,18
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Individual utility maximization,88.8889,18
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Uncertainty evaluation,66.6667,18
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Strategic equilibrium focus,61.1111,18
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Multidimensional reasoning,38.8889,18
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Strategic influence,38.8889,18
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Risk aversion,33.3333,18
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Exploration-exploitation trade-off,16.6667,18
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Trust evaluation,11.1111,18
PrisonersDilemma,Mediation,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Social welfare maximization,5.5556,18
PrisonersDilemma,Mediation,openai/gpt-5.2,openai/gpt-5.2(CoT)#P1,Strategic equilibrium focus,100.0000,8
PrisonersDilemma,Mediation,openai/gpt-5.2,openai/gpt-5.2(CoT)#P1,Individual utility maximization,75.0000,8
PrisonersDilemma,Mediation,openai/gpt-5.2,openai/gpt-5.2(CoT)#P2,Strategic equilibrium focus,100.0000,6
PrisonersDilemma,Mediation,openai/gpt-5.2,openai/gpt-5.2(CoT)#P2,Individual utility maximization,83.3333,6
PrisonersDilemma,Mediation,openai/gpt-5.2,openai/gpt-5.2(CoT)#P2,Strategic influence,16.6667,6
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Strategic equilibrium focus,100.0000,18
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Individual utility maximization,72.2222,18
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Multidimensional reasoning,33.3333,18
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Risk aversion,5.5556,18
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Uncertainty evaluation,5.5556,18
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Trust evaluation,5.5556,18
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Individual utility maximization,100.0000,18
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Strategic equilibrium focus,100.0000,18
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Multidimensional reasoning,27.7778,18
PrisonersDilemma,Mediation,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Strategic influence,16.6667,18
PrisonersDilemma,NoMechanism,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Individual utility maximization,100.0000,18
PrisonersDilemma,NoMechanism,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Strategic equilibrium focus,100.0000,18
PrisonersDilemma,NoMechanism,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Individual utility maximization,100.0000,18
PrisonersDilemma,NoMechanism,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Strategic equilibrium focus,77.7778,18
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Strategic equilibrium focus,100.0000,18
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Individual utility maximization,88.8889,18
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Social welfare maximization,11.1111,18
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Reciprocity,11.1111,18
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Strategic influence,11.1111,18
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Uncertainty evaluation,5.5556,18
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Risk aversion,5.5556,18
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Individual utility maximization,100.0000,18
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Strategic equilibrium focus,100.0000,18
PrisonersDilemma,NoMechanism,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Risk aversion,5.5556,18
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Individual utility maximization,88.8889,18
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Strategic equilibrium focus,77.7778,18
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Uncertainty evaluation,50.0000,18
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Risk aversion,27.7778,18
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Multidimensional reasoning,11.1111,18
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Strategic influence,11.1111,18
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Inequity aversion,5.5556,18
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Rule misunderstanding,5.5556,18
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Strategy legibility,5.5556,18
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Individual utility maximization,77.7778,18
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Strategic equilibrium focus,72.2222,18
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Uncertainty evaluation,66.6667,18
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Risk aversion,11.1111,18
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Multidimensional reasoning,11.1111,18
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Strategic influence,11.1111,18
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Exploration-exploitation trade-off,11.1111,18
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Rule misunderstanding,5.5556,18
PrisonersDilemma,NoMechanism,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Inequity aversion,5.5556,18
PrisonersDilemma,NoMechanism,openai/gpt-5.2,openai/gpt-5.2(CoT)#P1,Individual utility maximization,100.0000,7
PrisonersDilemma,NoMechanism,openai/gpt-5.2,openai/gpt-5.2(CoT)#P1,Strategic equilibrium focus,42.8571,7
PrisonersDilemma,NoMechanism,openai/gpt-5.2,openai/gpt-5.2(CoT)#P2,Individual utility maximization,100.0000,8
PrisonersDilemma,NoMechanism,openai/gpt-5.2,openai/gpt-5.2(CoT)#P2,Strategic equilibrium focus,50.0000,8
PrisonersDilemma,NoMechanism,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Strategic equilibrium focus,100.0000,18
PrisonersDilemma,NoMechanism,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Individual utility maximization,88.8889,18
PrisonersDilemma,NoMechanism,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Rule misunderstanding,5.5556,18
PrisonersDilemma,NoMechanism,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Risk aversion,5.5556,18
PrisonersDilemma,NoMechanism,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Individual utility maximization,100.0000,18
PrisonersDilemma,NoMechanism,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Strategic equilibrium focus,100.0000,18
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Individual utility maximization,91.4815,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Strategic influence,81.1111,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Trust evaluation,57.7778,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Strategic equilibrium focus,52.5926,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Multidimensional reasoning,51.1111,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Reciprocity,50.0000,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Uncertainty evaluation,23.3333,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Risk aversion,8.5185,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Strategy legibility,1.8519,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Social welfare maximization,1.1111,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Exploration-exploitation trade-off,0.7407,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Individual utility maximization,93.3333,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Strategic influence,80.7407,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Reciprocity,52.9630,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Strategic equilibrium focus,50.0000,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Trust evaluation,50.0000,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Multidimensional reasoning,46.6667,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Uncertainty evaluation,28.5185,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Risk aversion,6.6667,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Strategy legibility,2.5926,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Exploration-exploitation trade-off,0.7407,270
PrisonersDilemma,Repetition,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Social welfare maximization,0.7407,270
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Individual utility maximization,81.8519,270
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Strategic influence,75.9259,270
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Strategic equilibrium focus,62.9630,270
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Trust evaluation,51.4815,270
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Reciprocity,46.2963,270
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Multidimensional reasoning,34.0741,270
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Uncertainty evaluation,17.7778,270
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Social welfare maximization,10.7407,270
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Risk aversion,5.5556,270
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Strategy legibility,0.3704,270
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Individual utility maximization,83.7037,270
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Strategic influence,78.5185,270
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Strategic equilibrium focus,53.3333,270
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Reciprocity,41.4815,270
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Trust evaluation,36.6667,270
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Multidimensional reasoning,34.4444,270
PrisonersDilemma,Repetition,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Uncertainty evaluation,21.8519,270
